ra	dec	plx	pmra	pmdec	G	BP	RP
325.573649	57.984971	3.6202	-32.952	-35.947	10.126	10.434	9.651
326.654301	58.477967	1.6152	12.119	4.676	10.142	10.844	9.332
324.575713	57.113351	2.9796	7.086	-9.497	10.146	10.400	9.732
326.141801	58.656427	2.0537	4.599	-4.182	10.157	10.313	9.872
324.685913	57.236315	2.9301	19.851	17.244	10.172	10.371	9.684
326.438259	57.613789	1.1246	-4.846	-11.931	10.175	11.137	9.217
324.011478	57.759303	1.8603	5.783	-13.114	10.195	11.122	9.249
323.774601	57.739961	1.0524	-5.427	-3.874	10.196	10.502	9.703
326.507668	58.387560	1.6823	-2.643	-2.744	10.196	10.998	9.325
326.838754	57.413849	2.3465	12.223	1.673	10.209	10.483	9.771
324.275102	57.205432	3.5052	23.578	-0.919	10.221	10.558	9.714
325.420401	56.693417	0.3173	-3.856	-4.068	10.238	10.615	9.663
324.201054	57.655098	1.6653	-6.050	-6.377	10.244	10.942	9.432
323.306428	58.454384	1.9260	17.026	22.038	10.244	11.075	9.340
322.840746	58.481374	0.5775	-1.415	-3.854	10.244	11.248	9.264
325.486684	56.199278	6.7789	-7.302	-72.567	10.247	10.530	9.801
326.285193	56.838840	0.7530	2.543	-0.596	10.254	11.113	9.342
325.972729	58.133453	7.6960	-4.627	-48.486	10.265	10.619	9.748
325.631427	56.534781	1.0708	-2.623	-4.493	10.272	11.231	9.309
323.556678	57.378584	1.5780	4.663	-0.592	10.279	10.495	9.911
323.369273	58.586248	2.2862	6.195	-1.979	10.280	10.397	10.061
323.985635	57.347983	1.0707	-2.477	-5.419	10.284	10.440	9.996
327.079474	57.925881	1.4710	3.194	-2.074	10.289	10.553	9.851
326.234271	57.118418	2.6568	-8.378	-11.122	10.293	10.669	9.737
323.062619	57.730797	5.0235	12.980	12.855	10.295	10.555	9.880
326.560259	57.228203	0.8620	4.000	-1.899	10.300	11.699	9.162
327.033218	58.044685	2.3776	5.508	-4.343	10.301	10.501	9.948
323.316170	57.218100	1.0207	6.845	0.160	10.308	11.468	9.258
326.155384	56.621272	4.9045	-36.525	-25.033	10.308	10.631	9.820
322.852027	56.690246	1.8543	-4.338	-6.248	10.309	10.603	9.847
324.136177	58.037722	1.7829	0.862	1.989	10.310	10.469	10.021
324.688567	57.911664	3.6110	5.683	18.674	10.311	10.610	9.840
322.885711	56.847003	2.9214	15.714	13.988	10.315	10.534	9.950
325.507798	57.564918	1.1246	-1.873	-4.410	10.316	10.506	9.968
324.297425	56.562469	1.6092	-0.082	-5.790	10.321	10.585	9.889
327.036047	57.901069	2.2403	5.198	-4.278	10.339	10.567	9.943
326.389840	58.452413	3.2179	20.010	11.952	10.346	10.545	10.005
325.099208	56.146993	1.0504	0.165	-1.063	10.351	11.257	9.423
326.344979	56.546049	1.3218	2.502	-1.246	10.355	11.112	9.512
326.004192	56.694107	1.3138	-0.941	3.488	10.372	11.206	9.479
323.753955	56.258566	0.4044	1.819	-0.575	10.378	12.590	9.029
326.647872	57.439714	1.7646	13.163	8.774	10.387	11.151	9.536
324.580949	57.459665	1.2448	7.664	7.445	10.391	11.242	9.490
324.424390	57.560675	1.1069	-3.543	-3.604	10.391	10.601	10.020
322.565993	58.294093	0.3401	-3.239	-3.408	10.395	12.676	9.061
324.826133	57.162555	2.4624	4.281	-12.678	10.396	10.642	9.997
325.245312	56.198970	3.3884	-1.492	-8.594	10.409	10.636	10.026
325.973808	57.969946	0.8174	-1.853	-2.378	10.412	10.619	10.043
326.010682	57.439346	1.3604	-0.818	-5.955	10.412	10.653	10.003
325.781713	57.580269	2.2239	-4.590	-3.557	10.417	11.053	9.649
323.480886	57.679138	0.9301	-8.057	-2.762	10.426	11.454	9.283
326.566252	57.531825	4.2740	18.536	21.250	10.428	10.665	10.040
326.223945	56.444736	1.1194	7.942	7.786	10.436	11.258	9.551
324.302329	58.687830	1.0668	-1.609	-3.600	10.466	10.836	9.905
325.236014	57.603998	1.1969	4.574	-0.213	10.468	11.182	9.648
324.568196	57.169851	1.0876	-1.710	-7.336	10.473	10.589	10.245
325.103268	57.462584	0.9887	-3.550	3.006	10.479	10.651	10.165
322.954741	57.336840	3.5796	18.415	9.991	10.480	10.718	10.090
323.374786	56.782913	0.5782	-10.653	2.005	10.481	13.908	8.987
325.345342	57.754477	1.1279	-1.612	-4.058	10.489	10.576	10.314
324.842775	57.462680	3.2327	3.239	5.856	10.490	10.695	10.144
323.999383	58.462729	0.4947	0.557	-0.923	10.498	14.395	8.922
326.392864	56.637182	2.5913	12.862	2.035	10.499	10.727	10.119
322.797336	58.387657	0.4347	-4.451	-3.034	10.505	11.892	9.370
326.517329	56.715000	1.1809	-2.868	-7.512	10.510	11.214	9.696
324.110476	57.616861	1.5187	-7.842	3.231	10.515	11.358	9.618
324.323558	57.076776	1.5775	6.329	6.857	10.517	11.360	9.620
326.211244	57.512976	2.6705	5.442	-8.396	10.527	10.921	9.952
324.063980	57.591220	3.9697	4.591	10.691	10.527	10.871	10.023
323.408582	58.122102	1.6205	4.691	8.128	10.541	11.448	9.613
325.357250	56.596621	2.5171	-6.163	-6.007	10.545	10.774	10.167
323.739030	58.235285	2.0981	1.151	-3.318	10.546	10.725	10.233
326.393580	56.462596	3.5776	22.411	11.018	10.548	10.867	10.062
326.752259	57.616621	2.2673	2.027	-7.637	10.552	10.770	10.193
325.777684	57.472887	3.4768	12.897	6.986	10.555	10.821	10.132
324.534021	57.524052	1.0722	-2.455	-4.905	10.560	10.736	10.230
325.844099	58.436147	6.2949	-42.822	30.452	10.561	10.888	10.073
325.589383	57.831178	1.4944	-5.501	-15.118	10.565	10.841	10.122
326.386268	57.116743	2.2389	18.135	10.437	10.568	10.731	9.929
325.387475	58.865363	3.0603	1.933	-3.260	10.575	10.862	10.125
326.667477	57.980072	2.6339	-15.227	0.225	10.579	11.026	9.965
325.709111	57.475531	1.3478	0.215	-7.543	10.585	11.308	9.754
323.118366	57.848096	2.0553	4.185	6.153	10.585	10.971	10.031
323.553808	57.761231	1.3273	4.770	-4.762	10.593	10.931	10.078
325.737272	57.654635	0.9633	3.449	0.115	10.599	11.602	9.614
322.546567	57.723130	1.2162	-4.474	-6.495	10.611	10.822	10.247
326.962992	57.188909	0.4058	-4.711	-3.458	10.613	11.022	10.018
325.973880	58.193178	1.6282	-6.150	-5.711	10.617	10.906	10.162
324.627751	56.671779	2.1965	17.351	-2.503	10.619	11.030	10.030
325.668633	56.249205	3.6849	14.554	12.654	10.625	10.921	10.157
324.193341	56.308087	1.8882	6.349	1.498	10.630	11.050	10.026
323.617705	57.029719	0.7013	-0.977	0.516	10.632	12.896	9.375
325.574219	56.531424	0.6242	-1.912	-2.142	10.635	11.595	9.671
323.964613	57.394280	1.0547	-2.492	-5.177	10.637	10.959	10.124
323.839456	56.285633	2.2955	5.662	-0.415	10.643	11.094	10.024
327.149281	57.390269	0.4832	-3.519	-2.618	10.644	14.634	9.082
325.716692	58.582155	2.9817	7.817	-6.248	10.657	10.957	10.189
324.657773	56.678948	4.0624	0.650	5.397	10.665	11.041	10.127
324.794857	57.200209	0.5058	-0.045	-2.537	10.665	11.944	9.566
324.583452	56.798932	1.1775	1.535	-1.704	10.668	10.844	10.349
326.821297	56.982273	1.4888	4.135	-4.139	10.669	11.554	9.742
325.126507	57.223984	1.5097	6.757	1.940	10.675	10.917	10.278
325.878967	58.228167	1.1871	-3.390	-3.491	10.677	10.881	10.322
323.977163	58.452311	1.2453	5.965	-8.209	10.677	11.541	9.763
326.100631	58.574061	2.0784	3.775	-6.953	10.678	10.968	10.222
326.460132	58.107539	0.3628	-2.067	-3.845	10.679	14.386	9.175
324.240725	56.960027	0.4101	-1.758	-4.253	10.679	12.610	9.391
326.165993	58.073114	2.1491	2.365	2.001	10.681	10.862	10.366
324.660980	58.768529	1.6407	8.982	-2.444	10.690	11.632	9.739
324.939144	58.059263	1.6520	2.971	-8.521	10.690	11.653	9.726
325.934176	57.189411	1.8924	-15.079	-5.463	10.691	11.445	9.842
323.440541	57.900245	6.2692	-97.097	-48.691	10.696	11.034	10.195
324.214825	56.392975	0.4575	-7.041	-3.829	10.696	12.605	9.411
324.887496	57.030864	1.1967	0.350	-8.637	10.697	11.384	9.892
327.336707	57.661312	7.5077	25.027	26.513	10.699	11.036	10.197
325.250306	57.066742	0.3627	-3.905	-3.991	10.700	11.350	9.915
324.169292	57.027236	0.4617	-1.925	-7.118	10.701	12.484	9.445
324.757340	58.432325	0.5424	-1.352	-7.072	10.703	12.123	9.552
324.686371	58.595903	2.3570	44.978	10.170	10.704	11.359	9.922
324.015871	56.473120	0.6508	-2.542	-2.310	10.707	12.140	9.560
326.797215	58.181344	1.1703	2.315	0.968	10.707	11.441	9.873
324.572110	56.403813	3.0374	13.952	6.829	10.709	10.977	10.283
326.295535	57.801161	0.5404	3.156	1.414	10.709	13.293	9.302
323.920632	56.726706	1.8577	-16.651	-17.188	10.720	11.185	10.082
325.009110	57.955009	1.6495	-5.253	-6.085	10.722	11.139	10.127
324.133663	58.713410	3.6871	11.707	1.782	10.725	11.043	10.236
326.474532	57.883912	2.9395	10.548	-26.873	10.732	11.385	9.958
327.124050	57.525455	0.7240	-3.983	-5.333	10.734	12.444	9.496
322.613881	57.190149	0.6566	-0.851	-1.039	10.744	11.924	9.680
326.464514	57.472527	2.5299	-15.373	1.064	10.754	11.086	10.254
326.877877	57.872011	1.3902	6.538	3.055	10.756	11.180	10.156
324.463624	57.991086	8.3119	12.959	-20.753	10.757	11.144	10.205
323.194310	57.575411	0.9541	-3.300	-3.320	10.763	11.170	10.157
324.828630	57.708074	1.6484	-6.293	-5.931	10.764	11.017	10.350
326.417107	57.460986	1.4581	-2.243	-3.240	10.770	11.541	9.917
326.061630	57.809000	0.4732	-2.396	-4.234	10.770	13.371	9.420
323.039309	57.001413	1.1071	0.884	-2.200	10.771	11.128	10.227
326.371254	56.836637	2.0310	9.699	2.926	10.775	11.082	10.297
326.573453	56.809398	0.8069	2.373	-6.785	10.779	11.981	9.713
325.497578	58.246586	0.9512	4.847	-1.983	10.781	11.515	9.929
325.227489	56.360970	2.8743	1.492	-3.018	10.784	11.024	10.388
326.104750	57.693800	1.2606	-4.959	-3.876	10.798	11.600	9.920
326.374422	57.780837	1.2094	3.655	0.208	10.805	11.566	9.956
324.288007	58.495465	0.2904	-2.721	-3.303	10.807	12.955	9.525
324.864325	56.286765	0.7060	-5.130	-1.118	10.811	13.110	9.447
326.408407	56.530825	1.2338	-2.631	-8.426	10.811	11.607	9.940
324.506611	57.614614	0.1143	-2.465	-2.412	10.813	11.270	10.162
325.005422	58.782134	5.9671	-30.071	10.413	10.813	11.171	10.293
323.403879	58.046243	1.1807	-6.999	-4.391	10.823	11.674	9.917
326.449288	56.648729	4.2647	20.345	-27.842	10.834	11.153	10.345
325.896601	58.446920	2.9391	-15.559	-6.162	10.836	11.186	10.314
327.139775	57.360685	3.4104	12.807	4.483	10.844	11.088	10.279
325.499655	57.562176	5.9406	14.564	9.186	10.846	11.184	10.345
322.517388	57.849864	1.1955	21.385	-5.489	10.849	11.829	9.879
325.590592	57.085540	0.6644	-3.186	-4.695	10.857	11.029	10.535
324.944806	57.547905	1.0393	-2.464	-4.204	10.857	11.112	10.437
324.956809	56.748063	1.0740	-2.438	-4.253	10.859	11.090	10.469
325.534499	58.839814	1.2841	-8.486	-4.045	10.860	11.732	9.948
325.748947	58.560316	1.1940	-7.198	-0.017	10.869	11.658	10.003
326.650019	56.790803	2.1187	-10.502	-4.381	10.869	11.218	10.345
324.920931	57.582106	1.1738	-2.880	-4.771	10.877	10.976	10.676
